,title,y,upload_date,view_count,query
0,Assessing Federated Machine Learning's Potential for Transforming KYC/AML,0,2020-10-26,1,machine+learning
1,Alexa: Which is the Best Instance to Run Machine Learning Inference? - AWS Online Tech Talks,1,2020-10-26,28,machine+learning
2,Tesla vs comma.ai approach to machine learning | George Hotz and Lex Fridman,0,2020-10-26,1,machine+learning
3,Explore Machine Learning Models with Explainable AI Challenge Lab ✅ #GSP324🔴 #Qwiklabs ✅#GoogleCloud,1,2020-10-26,8,machine+learning
4,8. Deep Learning Tutorial (Bengali) | Padding in CNN | Convolutional Neural Network | Data Science,0,2020-10-26,16,machine+learning
5,AI Chihuahua: Why Machine Learning is Dogged by Failure and Delays - Ian Hellström (D2iQ),1,2020-10-26,2,machine+learning
6,Directions in ML: AutoML & Interpretability: Powering the machine learning revolution in healthcare,1,2020-10-26,258,machine+learning
7,Machine Learning with lobe.ai for Pumpkin Classification,0,2020-10-26,45,machine+learning
8,Machine Learning for Sustainable Agriculture,1,2020-10-26,79,machine+learning
9,Introduction to Machine Learning  - AI Master Class series Day 22,0,2020-10-26,4,machine+learning
10,SimCLR - Contrastive Learning of visual representations #machineLearning #AI,0,2020-10-26,9,machine+learning
11,"Waa maxay Artificial Intelligence (AI), Machine Learning (ML) & Deep Learning (DL)",1,2020-10-26,15,machine+learning
12,Solving with AWS Solutions: Predictive Maintenance Using Machine Learning,1,2020-10-26,441,machine+learning
13,Introduction to Machine Learning Solution | Week-6 Assignment Solution | NPTEL Jul-Dec 2020 | NPTEL,0,2020-10-26,3,machine+learning
14,"Convolution padding and stride | Deep Learning Tutorial 25 (Tensorflow2.0, Keras & Python)",0,2020-10-26,224,machine+learning
15,New AI and Machine Learning Research | The Rise of the Data Scientist,0,2020-10-26,19,machine+learning
16,🎥 DataCamp - Machine Learning with Python Track Review [Arabic]مراجعة مسار التعلم الآلة من داتاكامب,0,2020-10-26,14,machine+learning
17,Lecture 6 - Neural Networks - COMP0169: Machine Learning for Visual Computing 20-21 - UCL,0,2020-10-26,4,machine+learning
18,Swiss Smart Factory Deep Dive: Machine Learning,1,2020-10-26,11,machine+learning
19,02 Introduction To Deep Learning:  How Artificial Intelligence Works,0,2020-10-26,1,machine+learning
20,Machine Learning aplicada a Sistemas Auto-adaptativos,0,2020-10-26,15,machine+learning
21,Introducing Lobe  |  Build your first machine learning model in ten minutes.,0,2020-10-26,135,machine+learning
22,Adam Menges — Lobe: Machine Learning Made Simple · Getting Simple Interview,0,2020-10-26,14,machine+learning
23,Introduction To Data Analytics | Step 5: Data Modelling for Machine Learning,0,2020-10-26,3,machine+learning
24,Learn Machine Learning with Python,0,2020-10-26,1,machine+learning
